GEOID,neon_region
01001,8
01003,3
01005,3
01007,8
01009,8
01011,8
01013,3
01015,8
01017,8
01019,8
01021,8
01023,8
01025,3
01027,8
01029,8
01031,3
01033,8
01035,3
01037,8
01039,3
01041,3
01043,8
01045,3
01047,8
01049,8
01051,8
01053,3
01055,8
01057,8
01059,8
01061,3
01063,8
01065,8
01067,3
01069,3
01071,8
01073,8
01075,8
01077,8
01079,8
01081,8
01083,8
01085,8
01087,8
01089,8
01091,8
01093,8
01095,8
01097,3
01099,3
01101,8
01103,8
01105,8
01107,8
01109,3
01111,8
01113,8
01115,8
01117,8
01119,8
01121,8
01123,8
01125,8
01127,8
01129,3
01131,8
01133,8
04001,13
04003,14
04005,13
04007,14
04009,14
04011,14
04012,14
04013,14
04015,14
04017,13
04019,14
04021,14
04023,14
04025,13
04027,14
05001,8
05003,8
05005,8
05007,8
05009,8
05011,8
05013,8
05015,8
05017,8
05019,8
05021,8
05023,8
05025,8
05027,8
05029,8
05031,8
05033,8
05035,8
05037,8
05039,8
05041,8
05043,8
05045,8
05047,8
05049,8
05051,8
05053,8
05055,8
05057,8
05059,8
05061,8
05063,8
05065,8
05067,8
05069,8
05071,8
05073,8
05075,8
05077,8
05079,8
05081,8
05083,8
05085,8
05087,8
05089,8
05091,8
05093,8
05095,8
05097,8
05099,8
05101,8
05103,8
05105,8
05107,8
05109,8
05111,8
05113,8
05115,8
05117,8
05119,8
05121,8
05123,8
05125,8
05127,8
05129,8
05131,8
05133,8
05135,8
05137,8
05139,8
05141,8
05143,8
05145,8
05147,8
05149,8
06001,17
06003,17
06005,17
06007,17
06009,17
06011,17
06013,17
06015,16
06017,17
06019,17
06021,17
06023,16
06025,14
06027,15
06029,17
06031,17
06033,17
06035,15
06037,17
06039,17
06041,17
06043,17
06045,17
06047,17
06049,15
06051,15
06053,17
06055,17
06057,17
06059,17
06061,17
06063,17
06065,14
06067,17
06069,17
06071,14
06073,17
06075,17
06077,17
06079,17
06081,17
06083,17
06085,17
06087,17
06089,17
06091,17
06093,16
06095,17
06097,17
06099,17
06101,17
06103,17
06105,16
06107,17
06109,17
06111,17
06113,17
06115,17
08001,10
08003,13
08005,10
08007,13
08009,10
08011,10
08013,10
08014,10
08015,13
08017,10
08019,13
08021,13
08023,13
08025,10
08027,13
08029,13
08031,10
08033,13
08035,10
08037,13
08039,10
08041,13
08043,13
08045,13
08047,13
08049,13
08051,13
08053,13
08055,13
08057,13
08059,10
08061,10
08063,10
08065,13
08067,13
08069,10
08071,13
08073,10
08075,10
08077,13
08079,13
08081,13
08083,13
08085,13
08087,10
08089,10
08091,13
08093,13
08095,10
08097,13
08099,10
08101,10
08103,13
08105,13
08107,13
08109,13
08111,13
08113,13
08115,10
08117,13
08119,13
08121,10
08123,10
08125,10
09001,1
09003,1
09005,1
09007,1
09009,1
09011,1
09013,1
09015,1
10001,2
10003,2
10005,2
11001,2
12001,3
12003,3
12005,3
12007,3
12009,3
12011,4
12013,3
12015,3
12017,3
12019,3
12021,4
12023,3
12027,3
12029,3
12031,3
12033,3
12035,3
12037,3
12039,3
12041,3
12043,3
12045,3
12047,3
12049,3
12051,4
12053,3
12055,3
12057,3
12059,3
12061,3
12063,3
12065,3
12067,3
12069,3
12071,3
12073,3
12075,3
12077,3
12079,3
12081,3
12083,3
12085,3
12086,4
12087,NA
12089,3
12091,3
12093,3
12095,3
12097,3
12099,4
12101,3
12103,3
12105,3
12107,3
12109,3
12111,3
12113,3
12115,3
12117,3
12119,3
12121,3
12123,3
12125,3
12127,3
12129,3
12131,3
12133,3
13001,3
13003,3
13005,3
13007,3
13009,2
13011,2
13013,2
13015,2
13017,3
13019,3
13021,2
13023,2
13025,3
13027,3
13029,3
13031,3
13033,3
13035,2
13037,3
13039,3
13043,3
13045,2
13047,8
13049,3
13051,3
13053,8
13055,8
13057,2
13059,2
13061,3
13063,2
13065,3
13067,2
13069,3
13071,3
13073,3
13075,3
13077,2
13079,8
13081,3
13083,8
13085,2
13087,3
13089,2
13091,3
13093,3
13095,3
13097,2
13099,3
13101,3
13103,3
13105,2
13107,3
13109,3
13111,7
13113,2
13115,8
13117,2
13119,2
13121,2
13123,7
13125,3
13127,3
13129,8
13131,3
13133,2
13135,2
13137,7
13139,2
13141,2
13143,8
13145,8
13147,2
13149,8
13151,2
13153,8
13155,3
13157,2
13159,2
13161,3
13163,3
13165,3
13167,3
13169,2
13171,2
13173,3
13175,3
13177,3
13179,3
13181,2
13183,3
13185,3
13187,7
13189,3
13191,3
13193,8
13195,2
13197,8
13199,2
13201,3
13205,3
13207,2
13209,3
13211,2
13213,8
13215,8
13217,2
13219,2
13221,2
13223,2
13225,8
13227,7
13229,3
13231,2
13233,8
13235,3
13237,2
13239,3
13241,7
13243,3
13245,3
13247,2
13249,8
13251,3
13253,3
13255,2
13257,2
13259,3
13261,3
13263,8
13265,3
13267,3
13269,8
13271,3
13273,3
13275,3
13277,3
13279,3
13281,7
13283,3
13285,8
13287,3
13289,2
13291,7
13293,2
13295,8
13297,2
13299,3
13301,3
13303,3
13305,3
13307,3
13309,3
13311,7
13313,8
13315,3
13317,2
13319,2
13321,3
15001,20
15003,20
15005,20
15007,20
15009,20
16001,15
16003,12
16005,12
16007,12
16009,15
16011,12
16013,12
16015,15
16017,12
16019,12
16021,12
16023,12
16025,15
16027,15
16029,12
16031,15
16033,12
16035,12
16037,12
16039,15
16041,12
16043,12
16045,15
16047,15
16049,12
16051,12
16053,15
16055,15
16057,15
16059,12
16061,12
16063,15
16065,12
16067,15
16069,15
16071,12
16073,15
16075,15
16077,12
16079,12
16081,12
16083,15
16085,12
16087,15
17001,6
17003,8
17005,6
17007,6
17009,6
17011,6
17013,6
17015,6
17017,6
17019,6
17021,6
17023,6
17025,6
17027,6
17029,6
17031,5
17033,7
17035,6
17037,6
17039,6
17041,6
17043,6
17045,6
17047,7
17049,6
17051,6
17053,6
17055,6
17057,6
17059,7
17061,6
17063,6
17065,6
17067,6
17069,7
17071,6
17073,6
17075,6
17077,6
17079,6
17081,6
17083,6
17085,6
17087,6
17089,6
17091,6
17093,6
17095,6
17097,6
17099,6
17101,7
17103,6
17105,6
17107,6
17109,6
17111,6
17113,6
17115,6
17117,6
17119,6
17121,6
17123,6
17125,6
17127,6
17129,6
17131,6
17133,6
17135,6
17137,6
17139,6
17141,6
17143,6
17145,6
17147,6
17149,6
17151,6
17153,8
17155,6
17157,6
17159,7
17161,6
17163,6
17165,6
17167,6
17169,6
17171,6
17173,6
17175,6
17177,6
17179,6
17181,8
17183,6
17185,7
17187,6
17189,6
17191,7
17193,7
17195,6
17197,6
17199,6
17201,6
17203,6
18001,5
18003,5
18005,7
18007,6
18009,6
18011,6
18013,6
18015,6
18017,6
18019,7
18021,6
18023,6
18025,7
18027,7
18029,7
18031,6
18033,5
18035,6
18037,7
18039,5
18041,6
18043,7
18045,6
18047,7
18049,6
18051,7
18053,6
18055,6
18057,6
18059,6
18061,7
18063,6
18065,6
18067,6
18069,6
18071,7
18073,6
18075,6
18077,7
18079,7
18081,6
18083,7
18085,6
18087,5
18089,5
18091,5
18093,7
18095,6
18097,6
18099,6
18101,7
18103,6
18105,6
18107,6
18109,6
18111,6
18113,5
18115,7
18117,7
18119,6
18121,6
18123,7
18125,7
18127,5
18129,7
18131,6
18133,6
18135,6
18137,7
18139,6
18141,5
18143,7
18145,6
18147,7
18149,5
18151,5
18153,6
18155,7
18157,6
18159,6
18161,6
18163,7
18165,6
18167,6
18169,6
18171,6
18173,7
18175,7
18177,6
18179,5
18181,6
18183,5
19001,6
19003,6
19005,6
19007,6
19009,6
19011,6
19013,6
19015,6
19017,6
19019,6
19021,6
19023,6
19025,6
19027,6
19029,6
19031,6
19033,6
19035,6
19037,6
19039,6
19041,6
19043,6
19045,6
19047,6
19049,6
19051,6
19053,6
19055,6
19057,6
19059,6
19061,6
19063,6
19065,6
19067,6
19069,6
19071,6
19073,6
19075,6
19077,6
19079,6
19081,6
19083,6
19085,6
19087,6
19089,6
19091,6
19093,6
19095,6
19097,6
19099,6
19101,6
19103,6
19105,6
19107,6
19109,6
19111,6
19113,6
19115,6
19117,6
19119,6
19121,6
19123,6
19125,6
19127,6
19129,6
19131,6
19133,9
19135,6
19137,6
19139,6
19141,6
19143,6
19145,6
19147,6
19149,6
19151,6
19153,6
19155,6
19157,6
19159,6
19161,6
19163,6
19165,6
19167,6
19169,6
19171,6
19173,6
19175,6
19177,6
19179,6
19181,6
19183,6
19185,6
19187,6
19189,6
19191,6
19193,9
19195,6
19197,6
20001,8
20003,8
20005,6
20007,11
20009,10
20011,8
20013,6
20015,6
20017,6
20019,8
20021,8
20023,10
20025,10
20027,6
20029,6
20031,8
20033,10
20035,11
20037,8
20039,10
20041,6
20043,6
20045,6
20047,10
20049,6
20051,10
20053,10
20055,10
20057,10
20059,6
20061,6
20063,10
20065,10
20067,10
20069,10
20071,10
20073,6
20075,10
20077,11
20079,6
20081,10
20083,10
20085,6
20087,6
20089,10
20091,6
20093,10
20095,6
20097,10
20099,8
20101,10
20103,6
20105,6
20107,8
20109,10
20111,6
20113,6
20115,6
20117,6
20119,10
20121,6
20123,10
20125,8
20127,6
20129,10
20131,6
20133,6
20135,10
20137,10
20139,6
20141,10
20143,6
20145,10
20147,10
20149,6
20151,10
20153,10
20155,10
20157,6
20159,6
20161,6
20163,10
20165,10
20167,10
20169,6
20171,10
20173,6
20175,10
20177,6
20179,10
20181,10
20183,10
20185,10
20187,10
20189,10
20191,11
20193,10
20195,10
20197,6
20199,10
20201,6
20203,10
20205,6
20207,8
20209,6
21001,7
21003,7
21005,7
21007,8
21009,7
21011,7
21013,7
21015,7
21017,7
21019,7
21021,7
21023,7
21025,7
21027,7
21029,7
21031,7
21033,7
21035,8
21037,7
21039,8
21041,7
21043,7
21045,7
21047,7
21049,7
21051,7
21053,7
21055,7
21057,7
21059,7
21061,7
21063,7
21065,7
21067,7
21069,7
21071,7
21073,7
21075,8
21077,7
21079,7
21081,7
21083,8
21085,7
21087,7
21089,7
21091,7
21093,7
21095,7
21097,7
21099,7
21101,7
21103,7
21105,8
21107,7
21109,7
21111,7
21113,7
21115,7
21117,7
21119,7
21121,7
21123,7
21125,7
21127,7
21129,7
21131,7
21133,7
21135,7
21137,7
21139,6
21141,7
21143,8
21145,6
21147,7
21149,7
21151,7
21153,7
21155,7
21157,8
21159,7
21161,7
21163,7
21165,7
21167,7
21169,8
21171,8
21173,7
21175,7
21177,7
21179,7
21181,7
21183,7
21185,7
21187,7
21189,7
21191,7
21193,7
21195,7
21197,7
21199,7
21201,7
21203,7
21205,7
21207,7
21209,7
21211,7
21213,7
21215,7
21217,7
21219,7
21221,8
21223,7
21225,7
21227,7
21229,7
21231,7
21233,7
21235,7
21237,7
21239,7
22001,3
22003,3
22005,3
22007,3
22009,3
22011,3
22013,8
22015,8
22017,8
22019,3
22021,8
22023,3
22025,8
22027,8
22029,8
22031,11
22033,3
22035,8
22037,3
22039,3
22041,8
22043,8
22045,3
22047,3
22049,8
22051,3
22053,3
22055,3
22057,3
22059,8
22061,8
22063,3
22065,8
22067,8
22069,8
22071,3
22073,8
22075,3
22077,3
22079,8
22081,8
22083,8
22085,8
22087,3
22089,3
22091,3
22093,3
22095,3
22097,3
22099,3
22101,3
22103,3
22105,3
22107,8
22109,3
22111,8
22113,3
22115,8
22117,3
22119,8
22121,3
22123,8
22125,3
22127,8
23001,1
23003,1
23005,1
23007,1
23009,1
23011,1
23013,1
23015,1
23017,1
23019,1
23021,1
23023,1
23025,1
23027,1
23029,1
23031,1
24001,2
24003,2
24005,2
24009,2
24011,2
24013,2
24015,2
24017,2
24019,2
24021,2
24023,1
24025,2
24027,2
24029,2
24031,2
24033,2
24035,2
24037,2
24039,2
24041,2
24043,2
24045,2
24047,2
24510,2
25001,1
25003,1
25005,1
25007,NA
25009,1
25011,1
25013,1
25015,1
25017,1
25019,NA
25021,1
25023,1
25025,1
25027,1
26001,5
26003,5
26005,5
26007,5
26009,5
26011,5
26013,5
26015,5
26017,5
26019,5
26021,5
26023,5
26025,5
26027,5
26029,5
26031,5
26033,5
26035,5
26037,5
26039,5
26041,5
26043,5
26045,5
26047,5
26049,5
26051,5
26053,5
26055,5
26057,5
26059,5
26061,5
26063,5
26065,5
26067,5
26069,5
26071,5
26073,5
26075,5
26077,5
26079,5
26081,5
26083,5
26085,5
26087,5
26089,5
26091,5
26093,5
26095,5
26097,5
26099,5
26101,5
26103,5
26105,5
26107,5
26109,5
26111,5
26113,5
26115,5
26117,5
26119,5
26121,5
26123,5
26125,5
26127,5
26129,5
26131,5
26133,5
26135,5
26137,5
26139,5
26141,5
26143,5
26145,5
26147,5
26149,5
26151,5
26153,5
26155,5
26157,5
26159,5
26161,5
26163,5
26165,5
27001,5
27003,5
27005,9
27007,5
27009,5
27011,9
27013,6
27015,6
27017,5
27019,6
27021,5
27023,9
27025,5
27027,9
27029,9
27031,5
27033,6
27035,5
27037,6
27039,6
27041,9
27043,6
27045,6
27047,6
27049,6
27051,9
27053,6
27055,6
27057,5
27059,5
27061,5
27063,6
27065,5
27067,9
27069,9
27071,5
27073,9
27075,5
27077,5
27079,6
27081,9
27083,9
27085,6
27087,9
27089,9
27091,6
27093,9
27095,5
27097,5
27099,6
27101,6
27103,6
27105,6
27107,9
27109,6
27111,9
27113,9
27115,5
27117,6
27119,9
27121,9
27123,6
27125,9
27127,6
27129,6
27131,6
27133,6
27135,9
27137,5
27139,6
27141,5
27143,6
27145,5
27147,6
27149,9
27151,9
27153,9
27155,9
27157,6
27159,9
27161,6
27163,6
27165,6
27167,9
27169,6
27171,6
27173,9
28001,8
28003,8
28005,3
28007,8
28009,8
28011,8
28013,8
28015,8
28017,8
28019,8
28021,8
28023,8
28025,8
28027,8
28029,8
28031,8
28033,8
28035,3
28037,8
28039,3
28041,3
28043,8
28045,3
28047,3
28049,8
28051,8
28053,8
28055,8
28057,8
28059,3
28061,8
28063,8
28065,8
28067,8
28069,8
28071,8
28073,3
28075,8
28077,8
28079,8
28081,8
28083,8
28085,8
28087,8
28089,8
28091,3
28093,8
28095,8
28097,8
28099,8
28101,8
28103,8
28105,8
28107,8
28109,3
28111,3
28113,3
28115,8
28117,8
28119,8
28121,8
28123,8
28125,8
28127,8
28129,8
28131,3
28133,8
28135,8
28137,8
28139,8
28141,8
28143,8
28145,8
28147,3
28149,8
28151,8
28153,8
28155,8
28157,3
28159,8
28161,8
28163,8
29001,6
29003,6
29005,6
29007,6
29009,8
29011,8
29013,8
29015,8
29017,8
29019,6
29021,6
29023,8
29025,6
29027,6
29029,8
29031,8
29033,6
29035,8
29037,6
29039,8
29041,6
29043,8
29045,6
29047,6
29049,6
29051,6
29053,6
29055,8
29057,8
29059,8
29061,6
29063,6
29065,8
29067,8
29069,8
29071,6
29073,6
29075,6
29077,8
29079,6
29081,6
29083,6
29085,8
29087,6
29089,6
29091,8
29093,8
29095,6
29097,8
29099,6
29101,6
29103,6
29105,8
29107,6
29109,8
29111,6
29113,6
29115,6
29117,6
29119,8
29121,6
29123,8
29125,8
29127,6
29129,6
29131,8
29133,8
29135,8
29137,6
29139,6
29141,8
29143,8
29145,8
29147,6
29149,8
29151,8
29153,8
29155,8
29157,8
29159,6
29161,8
29163,6
29165,6
29167,8
29169,8
29171,6
29173,6
29175,6
29177,6
29179,8
29181,8
29183,6
29185,8
29186,6
29187,8
29189,6
29195,6
29197,6
29199,6
29201,8
29203,8
29205,6
29207,8
29209,8
29211,6
29213,8
29215,8
29217,8
29219,6
29221,8
29223,8
29225,8
29227,6
29229,8
29510,6
30001,12
